system   D            wsystem.c:583  maybe_parent_dir                 [   0.00148] Also searching C:\Users\user\Source\Repos\My-Projects\Forgotten Dungeon (C++)\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00271] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00281] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.04496] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.08894] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.08909] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.09407] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.09417] al_display=02D69820
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.09423] al_display->vt=02D61DD0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.09691] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.09702] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09712] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09718] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09726] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09732] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09740] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09745] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09753] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09758] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09766] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09772] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09779] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09784] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09789] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09792] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09797] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09800] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09805] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09809] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09814] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09817] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09822] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09825] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09843] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09848] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09853] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09856] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09861] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09864] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09869] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09873] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.09878] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.09881] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09886] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09889] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09894] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09898] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09903] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09906] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09911] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09915] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09919] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09923] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09928] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09932] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09940] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09946] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09954] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09957] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09962] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09966] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09971] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09974] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09979] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09983] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09988] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.09992] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.09997] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10000] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.10005] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.10008] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
